,memory_1,memory_2,predict,size,width,height
55,836.671875,836.671875,60.65560531616211,114.41796875,1280,831
56,836.671875,836.6171875,64.1073989868164,357.421875,2896,1944
57,836.6171875,836.5625,82.67475891113281,113.306640625,1500,997
58,836.5625,836.4375,59.22685623168945,917.0634765625,5000,2358
59,836.4375,836.5859375,61.81260299682617,625.515625,3000,1688
60,836.5859375,836.71484375,42.175926208496094,310.2724609375,4608,3072
61,836.71484375,836.71484375,48.80801773071289,39.2373046875,1024,768
62,836.71484375,836.5390625,61.99140548706055,639.22265625,2592,1936
63,836.5390625,836.4609375,57.96574783325195,1368.6826171875,5000,3333
64,836.4609375,836.47265625,51.72489547729492,126.953125,1280,853
65,836.47265625,836.56640625,60.67483901977539,268.384765625,1600,1066
66,836.56640625,836.68359375,34.939823150634766,383.6025390625,3000,1987
67,836.68359375,836.46875,55.79884338378906,1681.248046875,5000,3333
68,836.46875,836.421875,75.83226013183594,398.09375,2560,1707
69,836.421875,836.546875,58.59900665283203,421.9638671875,2972,1932
70,836.546875,836.64453125,48.093780517578125,1888.5634765625,5000,3333
71,836.64453125,836.6484375,47.309356689453125,1223.71484375,5000,3333
72,836.6484375,836.6328125,42.207794189453125,2076.5732421875,4000,2670
73,836.6328125,836.53515625,81.64604949951172,821.3251953125,4288,2848
74,836.53515625,836.51171875,47.63261413574219,1815.990234375,4592,3064
75,836.51171875,836.5234375,46.53953552246094,274.6943359375,2048,1365
76,836.5234375,836.5859375,58.03723907470703,262.26953125,3456,2304
77,836.5859375,836.66015625,52.349361419677734,180.69140625,1500,1000
78,836.66015625,836.69921875,67.80754089355469,348.890625,2689,1795
79,836.69921875,836.76953125,72.50125885009766,62.9853515625,1280,853
80,836.76953125,836.76953125,51.17967987060547,1490.6669921875,4032,3024
81,836.76953125,836.72265625,62.52556228637695,273.353515625,2500,1667
82,836.72265625,836.515625,49.79204559326172,1963.1962890625,5000,3333
83,836.515625,836.453125,53.04779052734375,77.4443359375,1280,960
84,836.453125,836.6640625,50.655391693115234,1201.0087890625,4000,2667
85,836.6640625,836.6796875,60.225799560546875,452.13671875,4272,2848
86,836.6796875,836.74609375,50.97002410888672,843.3740234375,5000,3419
87,836.74609375,836.6953125,47.95209503173828,1948.4013671875,2848,4288
88,836.6953125,836.73046875,51.46207046508789,1971.0,5000,3288
89,836.73046875,836.79296875,57.35335159301758,483.3779296875,1584,2376
90,836.79296875,836.73046875,36.39585494995117,720.7158203125,4752,3168
91,836.73046875,836.66796875,58.33220672607422,977.572265625,5000,3269
92,836.66796875,836.69140625,56.73395919799805,979.3251953125,4032,2272
93,836.69140625,836.703125,57.60022735595703,1059.5244140625,4910,3252
94,836.703125,836.63671875,75.7443618774414,81.46484375,1920,713
95,836.63671875,836.671875,56.233604431152344,2258.609375,4912,3264
96,836.671875,836.6796875,39.65760040283203,871.2265625,2304,1536
97,836.6796875,836.703125,48.2320442199707,230.6533203125,3888,2592
98,836.703125,836.79296875,53.349945068359375,163.474609375,4288,2848
99,836.79296875,836.71875,40.21923828125,53.9609375,2000,1325
100,836.71875,836.96875,57.584930419921875,307.5078125,2100,1500
101,836.96875,836.5546875,51.427330017089844,1242.6982421875,5000,3333
102,836.5546875,836.5703125,46.588680267333984,68.9853515625,1280,1280
103,836.5703125,836.53125,69.4375228881836,167.8095703125,2000,1333
104,836.53125,836.6171875,63.830169677734375,190.59375,1500,998
105,836.6171875,836.6171875,51.14875030517578,1457.9267578125,4928,3264
106,836.6171875,836.6640625,60.85868835449219,452.7958984375,2448,2448
107,836.6640625,836.64453125,46.27604675292969,188.3125,3264,2176
108,836.64453125,836.5859375,61.769107818603516,1737.0947265625,4288,2848
109,836.5859375,836.5859375,64.63200378417969,124.576171875,1024,683
110,836.5859375,836.80078125,60.48110580444336,726.625,2000,3011
111,836.80078125,836.8203125,45.721187591552734,98.640625,2048,1365
112,836.8203125,836.75390625,55.904781341552734,2683.2529296875,4272,2848
113,836.75390625,836.671875,61.17296600341797,241.787109375,3264,2448
114,836.671875,836.875,53.303470611572266,829.24609375,5000,2460
115,836.875,836.87890625,52.492061614990234,2161.470703125,4608,3072
116,836.87890625,836.91015625,44.026123046875,230.3818359375,3888,2592
117,836.91015625,836.9921875,32.70343017578125,546.9921875,4928,3264
